country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,e_pop
Switzerland,2021,0.898,0.851,0.801,-0.897,1,2.355,4,-3.084,0,1.769,4,1.994,4,1.959,4,2.405,3,1,1,15,1.99,2.032,1.131,0,10,10,51953.132,926.471
Taiwan,2021,0.819,0.707,0.63,-0.27,2,0.704,3,-0.854,2,1.041,4,0.288,3,0.702,4,1.654,3,1,1,15,1.206,1.47,0.78,0,10,10,125119.006,2516.5
Tajikistan,2021,0.184,0.048,0.057,1.468,3,-2.202,1,0.818,4,-2.259,2,-1.547,1,-1.399,2,-1.827,1,6,7,1,-1.338,-0.592,-0.608,4,1,-3,3589.353,961.504
Tanzania,2021,0.372,0.339,0.257,1.332,3,0.114,3,1.656,4,0.376,3,-0.021,3,-0.17,3,-1.175,1,5,5,4,-0.355,-0.632,-0.437,1,4,3,14660.04,5974.25
Thailand,2021,0.198,0.171,0.111,1.183,3,-0.72,2,0.541,4,0.617,4,-1.238,1,-1.018,3,-1.564,1,5,7,5,-0.457,0.253,-0.546,3,0,-3,124869.52,7367.895
Timor-Leste,2021,0.68,0.488,0.396,-2.114,1,1.445,4,-1.943,0,1.106,4,1.373,3,0.62,4,1.048,2,3,2,8,-0.053,-0.759,0.172,1,9,8,471.102,134.756
Togo,2021,0.422,0.238,0.272,1.941,3,-0.353,2,1.85,4,-0.837,3,-0.927,2,1.104,4,-0.009,2,4,5,6,-0.668,-0.647,-0.802,3,1,-2,1565.042,868.185
Tunisia,2021,0.538,0.388,0.356,1.049,3,1.028,3,-0.544,2,0.99,4,1.594,3,1.388,4,1.498,2,3,3,9,-0.23,-0.167,-0.696,0,7,7,13397.583,1234.269
Turkey,2021,0.283,0.123,0.173,0.971,3,-2.128,1,1.223,4,-0.672,3,-0.604,2,-1.772,2,-1.611,1,6,5,3,-0.386,-0.087,-1.098,4,0,-4,209484.095,8883.153
Turkmenistan,2021,0.15,0.036,0.032,1.852,3,-3.17,0,1.325,4,-3.044,0,-2.445,1,-3.615,1,-2.093,0,7,7,0,-1.42,-0.928,-0.319,8,0,-8,15715.28,628.439
Uganda,2021,0.291,0.203,0.183,0.731,2,-1.117,2,0.285,3,-0.975,2,-1.057,2,-0.269,3,-1.512,1,5,6,4,-0.999,-0.57,-0.86,2,1,-1,9512.254,4593.818
Ukraine,2021,0.513,0.312,0.322,0.479,2,0.253,3,-1,2,0.367,3,0.033,3,0.265,3,0.62,2,3,3,6,-0.767,-0.409,-1.099,1,5,4,47673.998,4736.15
United Arab Emirates,2021,0.099,0.082,0.032,2.279,3,-3.716,0,0.221,3,-0.892,2,-2.108,1,-2.164,2,-2.541,0,6,7,3,1.178,1.399,0.649,8,0,-8,66856.255,1034.842
United Kingdom,2021,0.862,0.787,0.633,0.614,2,1.528,4,-0.995,2,1.766,4,1.016,3,0.82,4,0.959,2,1,1,13,1.671,1.279,0.542,0,8,8,292982.938,7145.392
United States of America,2021,0.813,0.735,0.577,0.838,2,1.493,4,-1.055,1,1.006,4,0.256,3,0.752,4,2.309,3,2,2,11,1.047,1.336,0.005,0,5,5,2118706.309,34961.294
Uruguay,2021,0.849,0.775,0.664,0.444,2,2.165,4,1.791,4,1.806,4,1.844,4,1.449,4,1.868,3,1,1,15,1.615,0.84,1.046,0,10,10,7648.252,365.689
Uzbekistan,2021,0.212,0.082,0.062,1.212,3,-1.774,1,1.745,4,-1.22,2,-1.512,1,-1.467,2,-1.418,1,6,7,1,-0.808,-0.197,-0.24,9,0,-9,37340.702,3492.84
Vanuatu,2021,0.771,0.651,0.483,-1.474,1,1.77,4,-1.106,1,1.779,4,1.25,3,1.504,4,1.71,3,2,2,13,-0.018,-0.558,0.791,,,,100.223,31.027
